movie,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,genres,release_month
now you see me,en,16.646,7.4,9871,2013-05-31,75000000,342769200,multiple_genres,5
now you see me 2,en,25.805,6.8,6744,2016-06-10,90000000,328325007,multiple_genres,6
oblivion,en,18.534,6.5,6850,2013-04-19,120000000,287916633,multiple_genres,4
obvious child,en,8.232,6.7,256,2014-06-06,1000000,3324070,multiple_genres,6
october baby,en,4.835,6.8,56,2012-03-23,1000000,5391992,drama,3
oculus,en,10.841,6.4,1747,2014-04-11,5000000,44115496,multiple_genres,4
office christmas party,en,10.729,5.6,1191,2016-12-09,45000000,91323299,comedy,12
oldboy,en,11.378,5.9,1032,2005-03-25,3000000,6239723,multiple_genres,3
olympus has fallen,en,13.864,6.2,4086,2013-03-22,70000000,172878928,multiple_genres,3
on the basis of sex,en,32.624,7.4,225,2018-12-25,20000000,38073377,multiple_genres,12
on the road,en,8.919,5.6,518,2013-03-22,25000000,9313302,drama,3
one day,en,10.308,7.2,2105,2011-08-19,15000000,59168692,multiple_genres,8
one direction: this is us,en,9.005,8.1,370,2013-08-30,10000000,68541786,multiple_genres,8
one for the money,en,8.62,5.5,615,2012-01-27,42000000,36197221,multiple_genres,1
only god forgives,en,10.196,5.8,1396,2013-07-19,4800000,4494560,multiple_genres,7
only the brave,en,14.163,7.0,603,2017-10-20,38000000,24555177,multiple_genres,10
open road,en,3.271,5.1,20,2013-05-21,3000000,47469,multiple_genres,5
open secret,en,0.6,7.0,1,2015-03-25,100000,0,documentary,3
ouija,en,15.389,5.1,1670,2014-10-24,5000000,103300632,multiple_genres,10
ouija: origin of evil,en,11.823,6.0,1416,2016-10-21,9000000,81831866,multiple_genres,10
our brand is crisis,en,8.304,5.9,306,2015-10-30,28000000,8594558,multiple_genres,10
our family wedding,en,5.025,5.5,57,2010-03-12,14000000,21410546,multiple_genres,3
our idiot brother,en,8.523,6.1,527,2011-08-26,5000000,25861249,multiple_genres,8
out of the blue,en,0.6,10.0,1,2007-10-19,4600000,731767,multiple_genres,10
out of the dark,en,7.143,4.8,79,1989-12-31,1600000,419428,multiple_genres,12
out of the furnace,en,9.139,6.6,1077,2013-12-04,22000000,15434375,multiple_genres,12
overboard,en,19.477,6.3,535,2018-05-04,12000000,85369830,multiple_genres,5
oz the great and powerful,en,13.377,5.8,4829,2013-03-08,200000000,490359051,multiple_genres,3
pacific rim,en,16.759,6.8,7632,2013-07-12,190000000,411002906,multiple_genres,7
pacific rim: uprising,en,30.019,5.9,2213,2018-03-23,155000000,290930148,multiple_genres,3
paddington,en,13.565,7.0,1904,2015-01-16,55000000,258789097,multiple_genres,1
pain & gain,en,16.509,6.1,2500,2013-04-26,26000000,81275291,multiple_genres,4
palo alto,en,7.262,6.4,528,2014-05-09,1000000,1156309,drama,5
pan,en,13.054,5.9,1701,2015-10-09,150000000,151525973,multiple_genres,10
paper towns,en,11.564,6.0,3587,2015-07-24,12000000,85450484,multiple_genres,7
paranoia,en,0.6,10.0,1,2013-08-16,40000000,16340767,drama,8
paranormal activity 2,en,8.163,5.7,1342,2010-10-20,3000000,177512032,horror,10
paranormal activity 3,en,9.669,5.9,1197,2011-10-21,5000000,207039844,multiple_genres,10
paranormal activity 4,en,8.965,5.4,1026,2012-10-19,5000000,142817992,multiple_genres,10
paranormal activity: the ghost dimension,en,8.157,5.2,774,2015-10-23,10000000,77959374,multiple_genres,10
paranormal activity: the marked ones,en,9.446,5.3,752,2014-01-03,5000000,90904854,multiple_genres,1
paranorman,en,13.32,6.8,1358,2012-08-17,60000000,108119662,multiple_genres,8
parental guidance,en,10.124,5.8,276,2012-12-25,25000000,120832383,multiple_genres,12
parker,en,14.95,5.8,1868,2013-01-25,35000000,48543388,multiple_genres,1
parkland,en,6.056,6.1,206,2013-10-04,10000000,1616353,multiple_genres,10
passengers,en,14.074,6.8,7869,2016-12-21,110000000,302239672,multiple_genres,12
paterson,en,9.486,7.1,736,2016-12-28,5000000,10727536,multiple_genres,12
patriots day,en,15.435,6.9,1337,2016-12-21,40000000,52837989,multiple_genres,12
patti cake$,en,6.934,7.0,122,2017-08-18,1000000,1471090,multiple_genres,8
paul,en,15.234,6.5,3017,2011-03-18,40000000,101162106,multiple_genres,3
paul blart: mall cop 2,en,15.941,5.0,900,2015-04-17,38000000,107650646,multiple_genres,4
"paul, apostle of christ",en,12.005,7.1,98,2018-03-23,5000000,25529498,multiple_genres,3
payback,en,0.84,5.0,1,1999-02-05,50000000,161626121,multiple_genres,2
peeples,en,2.651,5.2,34,2013-05-10,11000000,9307166,multiple_genres,5
penguins of madagascar,en,20.899,6.4,2273,2014-11-26,132000000,366942531,multiple_genres,11
people like us,en,9.078,6.8,360,2012-06-29,16000000,12617472,multiple_genres,6
peppermint,en,32.476,6.5,716,2018-09-07,25000000,51800758,multiple_genres,9
percy jackson & the olympians: the lightning thief,en,26.691,6.1,4229,2010-02-12,95000000,223050874,multiple_genres,2
percy jackson: sea of monsters,en,15.762,5.9,3109,2013-08-07,90000000,200859554,multiple_genres,8
perfect cowboy,en,1.379,5.0,1,2015-11-10,200000,0,drama,11
peter rabbit,en,15.974,6.5,650,2018-02-09,50000000,347136477,multiple_genres,2
phantom,en,7.211,6.0,151,2013-03-01,18000000,1199510,drama,3
philomena,en,8.978,7.4,945,2013-11-22,12000000,98963392,multiple_genres,11
"pink ribbons, inc.",en,1.4,6.8,6,2012-06-01,1200000,26608,documentary,6
piranha 3d,en,11.302,5.3,1029,2010-08-20,24000000,83660160,multiple_genres,8
pirates of the caribbean: dead men tell no tales,en,28.101,6.6,6931,2017-05-26,230000000,788241137,multiple_genres,5
pirates of the caribbean: on stranger tides,en,30.579,6.4,8571,2011-05-20,410600000,1045663875,multiple_genres,5
pitch perfect,en,13.886,7.3,4233,2012-09-28,17000000,116044347,multiple_genres,9
pitch perfect 2,en,18.469,6.8,3599,2015-05-15,29000000,287625468,multiple_genres,5
pitch perfect 3,en,14.89,6.5,1884,2017-12-22,45000000,185736412,multiple_genres,12
pixels,en,23.029,5.6,4423,2015-07-24,90000000,244041804,multiple_genres,7
plastic,en,7.815,6.1,116,2014-09-26,10000000,575371,multiple_genres,9
playing for keeps,en,7.778,5.6,420,1986-10-03,35000000,2000000,multiple_genres,10
please give,en,5.945,6.3,81,2010-04-30,3000000,4570178,multiple_genres,4
plush,en,0.6,7.5,1,2013-09-13,2000000,28864,multiple_genres,9
point blank,fr,6.021,6.6,230,1967-09-18,3000000,0,multiple_genres,9
point break,en,9.435,5.6,1260,1991-07-12,24000000,83531958,multiple_genres,7
polisse,fr,7.682,7.8,670,2012-05-18,8900000,22744132,multiple_genres,5
poltergeist,en,17.343,5.1,1438,2015-05-22,35000000,95713069,multiple_genres,5
pompeii,en,25.215,5.4,2078,2014-02-21,80000000,108469033,multiple_genres,2
popstar: never stop never stopping,en,11.844,6.6,675,2016-06-03,20000000,9537120,multiple_genres,6
pound of flesh,en,6.921,5.4,95,2015-05-15,7500000,0,multiple_genres,5
power rangers,en,15.865,6.2,2667,2017-03-24,120000000,142531552,multiple_genres,3
predators,en,16.216,6.1,1979,2010-07-09,40000000,127234389,multiple_genres,7
premium rush,en,12.484,6.2,1244,2012-08-24,35000000,31393201,multiple_genres,8
pride and prejudice and zombies,en,9.086,5.7,1195,2016-02-05,28000000,16638300,multiple_genres,2
priest,en,15.318,5.5,1157,2011-05-13,60000000,84154026,multiple_genres,5
prisoners,en,14.358,8.0,5785,2013-09-20,46000000,113402302,multiple_genres,9
project almanac,en,9.55,6.5,1449,2015-01-30,12000000,32909437,multiple_genres,1
project x,en,9.715,6.4,2968,2012-03-02,12000000,103028188,mystery,3
prom,en,6.911,6.0,276,2011-04-29,8000000,10763183,multiple_genres,4
prometheus,en,24.98,6.4,7384,2012-06-08,125000000,402448265,multiple_genres,6
promised land,en,8.702,6.2,378,2013-01-04,15000000,12394562,multiple_genres,1
proud mary,en,9.371,5.5,259,2018-01-12,30000000,21709539,multiple_genres,1
pump,en,0.779,7.4,6,2014-09-19,2000000,72277,documentary,9
puss in boots,en,9.078,6.3,1422,2011-10-28,130000000,554987477,multiple_genres,10
quartet,en,8.32,6.6,209,2013-01-11,11000000,56178935,multiple_genres,1
queen crab,en,1.252,3.2,5,2015-09-29,75000,0,multiple_genres,9
queen of katwe,en,7.564,7.1,225,2016-09-23,15000000,10055481,multiple_genres,9
queen of the desert,en,7.109,6.0,136,2017-04-14,36000000,1578543,multiple_genres,4
r.i.p.d.,en,21.377,5.6,2047,2013-07-19,130000000,79076678,multiple_genres,7
rabbit hole,en,9.389,6.8,292,2010-12-17,5000000,6205034,multiple_genres,12
race,en,8.705,7.2,910,2016-02-19,5000000,23745772,drama,2
ralph breaks the internet,en,48.057,7.2,2626,2018-11-21,175000000,524283695,multiple_genres,11
ramona and beezus,en,7.442,6.3,460,2010-07-23,15000000,27469621,multiple_genres,7
rampage,en,24.238,6.2,3176,2018-04-13,120000000,428056280,multiple_genres,4
rango,en,14.462,6.6,3412,2011-03-04,135000000,245724600,multiple_genres,3
ravenous,fr,8.48,5.4,123,1999-03-19,12000000,2062406,multiple_genres,3
raymond did it,en,1.675,3.7,8,2011-02-11,40000,3632,horror,2
re-kill,en,4.191,4.8,47,2013-12-31,9500000,0,multiple_genres,12
reach me,en,4.659,5.2,48,2014-11-21,5000000,0,multiple_genres,11
ready player one,en,30.029,7.6,7021,2018-03-29,150000000,579290136,multiple_genres,3
reagan,en,1.58,4.8,9,2019-12-31,25000000,0,multiple_genres,12
real steel,en,14.811,6.8,4566,2011-10-07,110000000,263880341,multiple_genres,10
rebound,en,0.914,3.4,7,2005-07-01,45000000,17492014,multiple_genres,7
red,en,12.082,6.6,4162,2010-10-15,60000000,196439693,thriller,10
red 2,en,14.994,6.5,2368,2013-07-19,84000000,141507355,multiple_genres,7
red dawn,en,13.904,5.4,849,2012-11-21,65000000,48164150,multiple_genres,11
red eye,en,0.6,5.0,2,2005-08-19,26000000,96666486,horror,8
red lights,en,8.25,6.1,615,2012-07-13,17700000,14518884,multiple_genres,7
red riding hood,en,11.856,5.9,1884,2011-03-11,42000000,91678442,multiple_genres,3
red river,en,0.875,0.0,1,1948-08-26,3000000,9012000,horror,8
red sky,en,3.879,4.5,33,2015-03-10,25000000,91116,multiple_genres,3
red sparrow,en,18.117,6.5,3406,2018-03-02,69000000,145951861,multiple_genres,3
red state,en,7.816,6.1,472,2011-09-23,4000000,1983596,multiple_genres,9
red tails,en,10.247,6.0,256,2012-01-20,58000000,50365498,multiple_genres,1
redemption,fr,0.666,3.8,2,2013-06-28,23000000,13593473,multiple_genres,6
redemption road,en,1.128,4.7,6,2011-08-26,2300000,29384,drama,8
regression,en,10.713,5.5,1065,2015-10-30,20000000,15824374,multiple_genres,10
reign of assassins,zh,7.621,6.8,87,2016-11-01,14000000,11354230,multiple_genres,11
remember me,en,11.453,7.1,2079,2010-03-12,16000000,56506120,thriller,3
repo men,en,12.437,6.2,976,2010-03-19,32000000,18195238,multiple_genres,3
resident evil: afterlife,en,0.667,5.9,2119,2010-09-10,57500000,295874190,multiple_genres,9
resident evil: retribution,en,1.325,5.7,2321,2012-09-14,65000000,240647629,multiple_genres,9
resident evil: the final chapter,en,0.844,5.9,1859,2017-01-27,40000000,314101190,multiple_genres,1
restless,en,7.268,6.4,258,2011-09-16,8000000,2772511,drama,9
restoration,en,1.661,4.7,21,1995-12-29,18000000,4100000,drama,12
ricki and the flash,en,8.247,5.8,473,2015-08-07,18000000,41166033,multiple_genres,8
riddick,en,17.434,6.2,2852,2013-09-06,38000000,94763758,multiple_genres,9
ride along,en,10.831,6.2,1277,2014-01-17,25000000,153733800,action,1
ride along 2,en,12.977,6.2,939,2016-01-15,40000000,124827316,multiple_genres,1
rings,en,13.53,4.9,1785,2017-02-03,25000000,82917283,multiple_genres,2
rio,en,14.695,6.6,3730,2011-04-15,90000000,487519809,multiple_genres,4
rio 2,en,18.11,6.3,1803,2014-04-11,130000000,492846291,multiple_genres,4
rise of the guardians,en,14.934,7.3,3697,2012-11-21,145000000,306900902,multiple_genres,11
rise of the planet of the apes,en,22.995,7.2,7259,2011-08-05,93000000,470986200,multiple_genres,8
risen,en,10.089,5.8,433,2016-02-19,20000000,46255763,multiple_genres,2
road hard,en,1.08,6.6,12,2015-03-06,1500000,113169,comedy,3
roadside,en,0.746,4.2,5,2015-04-14,500000,0,multiple_genres,4
robin hood,en,0.68,5.7,3,2018-11-21,99000000,84747441,multiple_genres,11
robocop,en,17.851,5.8,3390,2014-02-12,120000000,242981799,multiple_genres,2
robot & frank,en,7.485,6.9,620,2012-08-17,2500000,4934356,multiple_genres,8
rock dog,en,10.362,5.7,123,2017-02-24,60000000,24148488,multiple_genres,2
rock of ages,en,11.369,6.1,686,2012-06-15,70000000,61031932,multiple_genres,6
rock the kasbah,en,5.203,5.5,154,2015-10-23,15000000,3386153,multiple_genres,10
rockaway,en,1.115,7.0,4,2007-07-07,2000000,0,multiple_genres,7
rodeo girl,en,0.809,5.1,6,2015-12-31,500000,0,multiple_genres,12
rogue one: a star wars story,en,21.401,7.5,9296,2016-12-16,200000000,1049102856,multiple_genres,12
"roman j. israel, esq.",en,12.688,6.2,499,2017-11-17,22000000,12967012,multiple_genres,11
romeo is bleeding,en,2.087,7.5,4,1994-02-04,10000000,3275585,multiple_genres,2
room,en,20.0,8.1,5494,2015-10-16,13000000,36262783,multiple_genres,10
rosewater,en,9.019,6.7,121,2014-11-14,10000000,3185717,multiple_genres,11
rotor dr1,en,1.247,4.3,4,2015-10-20,350000,0,multiple_genres,10
rough night,en,14.338,5.6,1096,2017-06-16,20000000,46844357,multiple_genres,6
rubber,en,8.319,5.9,417,2011-04-01,500000,680914,multiple_genres,4
rudderless,en,8.03,7.4,149,2014-10-17,5000000,567219,multiple_genres,10
run all night,en,17.592,6.4,1684,2015-03-13,50000000,66961644,multiple_genres,3
"run, hide, die",en,0.6,3.5,2,2015-09-01,50000,0,multiple_genres,9
runner runner,en,10.442,5.6,761,2013-10-04,30000000,60512680,multiple_genres,10
rush,en,14.623,7.7,3877,2013-09-20,38000000,98230839,multiple_genres,9
rust,pt,4.11,6.8,19,2010-10-05,250000,0,documentary,10
sabotage,en,14.055,5.5,779,2014-03-28,35000000,18376443,multiple_genres,3
safe,en,15.622,6.3,1248,2012-04-27,33000000,41495213,multiple_genres,4
safe haven,en,9.095,7.1,1433,2013-02-14,28000000,94050951,multiple_genres,2
safe house,en,13.116,6.4,1997,2012-02-10,85000000,208542162,horror,2
safety not guaranteed,en,9.214,6.9,792,2012-06-08,750000,4422318,multiple_genres,6
salt,en,0.632,1.0,1,2010-07-23,130000000,290650494,multiple_genres,7
salvation boulevard,en,6.507,5.4,38,2011-07-15,5500000,28468,multiple_genres,7
same kind of different as me,en,8.756,6.8,103,2017-10-20,6500000,6423605,multiple_genres,10
samsara,en,6.015,8.2,276,2012-08-24,4000000,5966671,multiple_genres,8
san andreas,en,27.414,6.1,5125,2015-05-29,110000000,456258539,multiple_genres,5
sanctum,en,7.457,5.9,515,2011-02-04,30000000,108957098,multiple_genres,2
sausage party,en,15.232,5.6,4237,2016-08-12,19000000,141344255,multiple_genres,8
savages,en,7.504,6.3,1246,2012-07-06,45000000,82513490,multiple_genres,7
saving mr. banks,en,9.585,7.4,2050,2013-12-13,35000000,114962525,multiple_genres,12
scott pilgrim vs. the world,en,14.383,7.3,3882,2010-08-13,85000000,48056764,multiple_genres,8
scouts guide to the zombie apocalypse,en,10.451,6.2,915,2015-10-30,15000000,15554855,multiple_genres,10
scream 4,en,16.082,6.2,1610,2011-04-15,40000000,95989590,multiple_genres,4
screwed,en,1.945,5.0,6,2000-05-12,12000000,6982680,multiple_genres,5
sea rex 3d: journey to a prehistoric world,en,2.746,7.4,12,2010-05-28,5000000,16515203,documentary,5
season of the witch,en,12.535,5.3,1352,2011-01-07,40000000,91126600,multiple_genres,1
second act,en,16.322,6.2,361,2018-12-21,15700000,63288854,multiple_genres,12
secret in their eyes,en,6.892,6.3,696,2015-11-20,20000000,32608019,multiple_genres,11
secretariat,en,9.059,7.0,200,2010-10-08,35000000,60376247,multiple_genres,10
seeking a friend for the end of the world,en,8.092,6.4,1108,2012-06-22,10000000,11766959,multiple_genres,6
self/less,en,19.131,6.3,1815,2015-07-10,26000000,33667319,multiple_genres,7
selma,en,9.541,7.5,1354,2015-01-09,20000000,66776576,multiple_genres,1
seven psychopaths,en,10.967,6.8,2109,2012-10-12,13500000,33035736,multiple_genres,10
seventh son,en,22.856,5.3,1549,2015-02-06,95000000,108874967,multiple_genres,2
sex and the city 2,en,9.986,5.9,809,2010-05-27,95000000,294680778,multiple_genres,5
sex tape,en,20.429,5.3,2684,2014-07-18,40000000,126069509,multiple_genres,7
sgt. stubby: an american hero,en,6.107,6.4,9,2018-04-13,25000000,3645957,multiple_genres,4
shame,ru,1.4,6.5,2,2011-12-02,6500000,20412841,drama,12
shanghai,en,6.824,6.1,80,2015-10-02,50000000,15505922,multiple_genres,10
shark lake,en,3.521,3.9,31,2015-12-01,2000000,0,multiple_genres,12
shark night 3d,en,7.879,5.0,245,2011-09-02,25000000,18877153,multiple_genres,9
she's out of my league,en,7.775,6.1,970,2010-03-12,20000000,48680977,multiple_genres,3
sherlock gnomes,en,12.987,5.4,343,2018-03-23,59000000,87527651,multiple_genres,3
sherlock holmes,en,5.39,5.6,53,2009-12-25,90000000,498438212,adventure,12
sherlock holmes: a game of shadows,en,18.301,7.1,6380,2011-12-16,125000000,535663443,multiple_genres,12
shrek forever after,en,15.041,6.1,3843,2010-05-21,165000000,756244673,multiple_genres,5
shut in,en,10.535,5.2,374,2016-11-11,10000000,11360665,multiple_genres,11
shutter,en,0.6,6.0,1,2008-03-21,8000000,47782426,multiple_genres,3
shutter island,en,18.06,8.1,12625,2010-02-19,80000000,299461782,multiple_genres,2
sicario,en,20.468,7.3,4475,2015-09-18,30000000,84393749,multiple_genres,9
sicario: day of the soldado,en,29.725,6.7,1317,2018-06-29,35000000,75885196,multiple_genres,6
side effects,en,0.657,7.3,2,2005-09-09,200000,44701,multiple_genres,9
silence,en,10.617,7.1,1560,2016-12-23,46500000,23726626,multiple_genres,12
silent house,en,7.079,5.2,184,2012-03-09,2000000,16610760,multiple_genres,3
silver linings playbook,en,15.351,7.1,7636,2012-11-16,21000000,236412453,multiple_genres,11
simon,en,0.64,0.0,1,2006-04-07,1300000,1738663,drama,4
sin city: a dame to kill for,en,20.896,6.3,2210,2014-08-22,65000000,40650842,multiple_genres,8
sing,en,17.572,6.9,4303,2016-12-21,75000000,634454789,multiple_genres,12
sinister,en,13.117,6.8,2935,2012-10-12,3000000,87727807,multiple_genres,10
sinister 2,en,9.916,5.8,1142,2015-08-21,10000000,54104225,multiple_genres,8
sisters,en,10.993,5.9,922,2015-12-18,30000000,106030660,multiple_genres,12
skin trade,en,9.362,5.6,96,2015-05-08,9000000,1242,documentary,5
skyfall,en,19.27,7.1,10441,2012-11-08,200000000,1110526981,multiple_genres,11
skyline,en,8.847,4.8,833,2010-11-12,10000000,68264973,multiple_genres,11
skyscraper,en,26.229,6.1,2177,2018-07-13,125000000,304115534,multiple_genres,7
sleight,en,5.664,5.3,367,2017-04-28,250000,3934450,multiple_genres,4
slender man,en,16.999,4.0,712,2018-08-10,10000000,51723644,multiple_genres,8
small apartments,en,5.302,5.9,75,2013-02-08,2000000,0,multiple_genres,2
smallfoot,en,26.231,6.6,600,2018-09-28,80000000,213691277,multiple_genres,9
smurfs: the lost village,en,15.663,6.2,736,2017-04-07,60000000,197578586,multiple_genres,4
snatched,en,0.725,3.5,2,2017-05-12,42000000,57852177,multiple_genres,5
snitch,en,16.673,5.9,1493,2013-02-22,15000000,57907734,multiple_genres,2
snow flower and the secret fan,en,4.519,5.9,39,2011-07-15,6000000,11348205,multiple_genres,7
snow white and the huntsman,en,21.233,5.9,5258,2012-06-01,170000000,401021746,multiple_genres,6
snow white: a deadly summer,en,3.595,4.1,14,2012-03-20,1000000,0,horror,3
snowden,en,13.703,7.1,2427,2016-09-16,50000000,35380918,multiple_genres,9
snowpiercer,ko,14.735,6.8,4748,2014-06-27,40000000,88069880,multiple_genres,6
solo: a star wars story,en,29.502,6.6,3838,2018-05-25,275000000,393151347,multiple_genres,5
some guy who kills people,en,5.908,6.1,59,2012-07-03,300000,0,multiple_genres,7
something borrowed,en,7.567,6.1,591,2011-05-06,35000000,65084116,multiple_genres,5
something wicked,en,2.403,4.5,21,2015-03-17,3000000,0,multiple_genres,3
somewhere,en,7.596,6.1,376,2010-12-22,7000000,17023121,multiple_genres,12
son of god,en,8.289,6.4,123,2014-02-28,22000000,70949793,multiple_genres,2
song one,en,6.206,5.6,126,2015-01-23,6000000,437089,multiple_genres,1
sorry to bother you,en,15.887,6.9,481,2018-07-06,3200000,18285560,multiple_genres,7
soul surfer,en,8.459,7.0,688,2011-04-08,18000000,47158652,multiple_genres,4
sound of my voice,en,7.212,6.4,169,2012-04-27,135000,429448,multiple_genres,4
source code,en,13.495,7.2,4529,2011-04-01,32000000,140428499,multiple_genres,4
southpaw,en,25.305,7.4,3424,2015-07-24,30000000,94156456,multiple_genres,7
space pirate captain harlock,ja,8.623,6.5,596,2013-12-31,30000000,310985,multiple_genres,12
sparkle,en,1.715,7.0,7,2012-08-17,10000000,24660323,multiple_genres,8
sparrows dance,en,0.968,7.4,6,2013-08-23,175000,2602,multiple_genres,8
speak no evil,en,2.443,3.6,19,2013-12-31,150000,32927,horror,12
spectre,en,30.318,6.4,6719,2015-11-06,300000000,879620923,multiple_genres,11
spellbound,en,0.6,5.3,3,1945-10-31,1500000,7000000,mystery,10
spider-man: homecoming,en,46.775,7.4,11585,2017-07-07,175000000,880166350,multiple_genres,7
split,en,25.783,7.2,10375,2017-01-20,5000000,278964806,multiple_genres,1
spotlight,en,16.354,7.8,4935,2015-11-06,20000000,92088460,drama,11
spring breakers,en,10.691,5.0,2495,2013-03-15,5000000,31149251,multiple_genres,3
st. vincent,en,16.379,7.1,1069,2014-10-10,13000000,54837234,multiple_genres,10
stake land,en,8.799,6.2,415,2011-04-22,4000000,679482,multiple_genres,4
standing ovation,en,1.224,4.3,12,2010-07-16,5600000,531806,musical,7
star trek beyond,en,19.142,6.7,4275,2016-07-22,185000000,335802233,multiple_genres,7
star trek into darkness,en,20.487,7.4,6182,2013-05-16,190000000,467381584,multiple_genres,5
state of play,en,0.6,6.0,3,2009-04-17,60000000,88832210,multiple_genres,4
steel,en,2.742,6.8,11,1997-08-15,16000000,1686429,western,8
step up 3d,en,17.174,6.7,1160,2010-08-06,30000000,165889117,multiple_genres,8
step up revolution,en,10.925,6.8,1252,2012-07-27,33000000,165552290,multiple_genres,7
steve jobs,en,8.895,6.8,2572,2015-10-09,30000000,35579007,multiple_genres,10
still alice,en,10.747,7.5,1946,2015-01-16,5000000,41699612,drama,1
stitches,en,6.394,5.6,138,2013-04-01,2000000,63555,horror,4
stoker,en,10.738,6.6,1282,2013-03-01,12000000,12034913,multiple_genres,3
stolen,en,9.813,5.3,559,2012-09-14,35000000,17967746,multiple_genres,9
stone,ru,2.84,4.9,8,2010-10-08,22000000,4065020,multiple_genres,10
stonewall,en,5.209,6.2,69,1996-07-26,2000000,304602,multiple_genres,7
storks,en,12.101,6.5,1308,2016-09-23,70000000,183353431,multiple_genres,9
straight a's,en,5.307,5.3,71,2013-03-19,2000000,0,multiple_genres,3
straight outta compton,en,11.731,7.7,2048,2015-08-14,28000000,202182981,multiple_genres,8
stranded,en,6.563,3.6,73,2013-07-26,1900000,285593,multiple_genres,7
strangerland,en,5.91,5.2,135,2015-07-10,10000000,161097,multiple_genres,7
straw dogs,en,8.749,5.7,255,2011-09-16,25000000,11253821,multiple_genres,9
stronger,en,7.836,7.0,782,2017-09-22,30000000,8786752,multiple_genres,9
stuck,en,1.282,5.6,4,2008-05-30,5000000,67505,comedy,5
stung,en,6.573,5.1,91,2015-07-03,2500000,0,multiple_genres,7
subconscious,en,0.855,3.1,7,2015-03-10,500000,0,horror,3
submarine,en,7.412,7.4,770,2011-06-03,1900000,4581937,multiple_genres,6
sucker punch,en,14.416,6.0,2716,2011-03-25,75000000,89758389,multiple_genres,3
suffragette,en,7.763,7.3,982,2015-10-23,14000000,34044909,multiple_genres,10
suicide squad,en,16.53,5.9,13533,2016-08-05,175000000,746059887,multiple_genres,8
sully,en,18.148,7.1,3924,2016-09-09,60000000,238524556,multiple_genres,9
super,en,11.36,6.6,726,2011-04-01,2500000,593933,multiple_genres,4
super 8,en,14.39,6.7,3934,2011-06-10,50000000,257972745,multiple_genres,6
superfly,en,12.046,6.5,130,2018-06-13,16000000,20723581,multiple_genres,6
superstar,gu,0.6,7.0,2,1999-10-08,14000000,30628981,comedy,10
supporting characters,en,1.907,6.7,13,2013-01-25,60000,4917,comedy,1
survivor,en,3.412,4.8,55,2015-05-29,20000000,1703281,multiple_genres,5
suspiria,en,16.925,7.0,752,2018-10-26,20000000,7034615,multiple_genres,10
swelter,en,5.232,5.1,44,2014-08-12,8000000,44197,multiple_genres,8
swiss army man,en,10.0,6.9,1789,2016-06-24,3000000,5837111,multiple_genres,6
table 19,en,7.551,6.0,604,2017-03-03,5000000,4620399,multiple_genres,3
tag,en,1.4,4.0,1,2018-06-15,28000000,77026186,multiple_genres,6
take me home tonight,en,11.321,6.1,339,2011-03-04,19000000,7576604,multiple_genres,3
take shelter,en,11.236,7.2,787,2011-09-30,4750000,4972016,multiple_genres,9
taken 2,en,16.078,6.2,4035,2012-10-05,45000000,377807404,multiple_genres,10
taken 3,en,27.679,6.1,3406,2015-01-09,48000000,327656424,multiple_genres,1
takers,en,8.969,6.2,605,2010-08-27,32000000,70587268,multiple_genres,8
tammy,en,10.979,5.2,735,2014-07-02,20000000,96407655,multiple_genres,7
tangled,en,21.511,7.5,6407,2010-11-24,260000000,586477240,multiple_genres,11
tarzan,en,7.727,5.5,348,1999-06-16,145000000,448191819,multiple_genres,6
ted,en,14.475,6.3,7727,2012-06-29,50000000,556016627,multiple_genres,6
ted 2,en,17.684,6.1,4227,2015-06-26,68000000,217214143,comedy,6
teefa in trouble,ur,4.486,7.6,11,2018-07-20,1500000,98806,multiple_genres,7
teen titans go! to the movies,en,16.523,7.0,304,2018-07-27,10000000,51620593,multiple_genres,7
teenage mutant ninja turtles,en,25.619,5.8,4259,1990-03-30,13500000,202000000,multiple_genres,3
teenage mutant ninja turtles: out of the shadows,en,15.096,5.9,1860,2016-06-03,135000000,245328374,multiple_genres,6
teeth,en,1.0,7.6,5,2008-01-18,2000000,2350641,documentary,1
teeth and blood,en,0.6,3.0,1,2015-03-10,300000,0,multiple_genres,3
ten,en,1.575,5.4,5,2015-04-21,25000,0,drama,4
test,en,0.6,8.0,1,2014-06-06,250000,18823,drama,6
testament of youth,en,9.251,7.4,486,2015-06-05,10000000,6646669,multiple_genres,6
texas chainsaw 3d,en,18.256,5.3,780,2013-01-04,20000000,47666013,multiple_genres,1
thank you for your service,en,0.6,6.0,1,2017-10-27,20000000,9985316,multiple_genres,10
that awkward moment,en,8.649,6.1,1759,2014-01-31,8000000,53068955,multiple_genres,1
that's my boy,en,12.817,5.5,831,2012-06-15,57500000,58085235,multiple_genres,6
the 15:17 to paris,en,11.576,5.3,799,2018-02-09,30000000,56096200,multiple_genres,2
the 33,en,9.993,6.2,565,2015-11-13,25000000,28400715,multiple_genres,11
the 5th quarter,en,2.142,4.7,15,2011-03-25,6000000,408159,multiple_genres,3
the 5th wave,en,12.967,5.8,3657,2016-01-22,38000000,111336398,multiple_genres,1
the a-team,en,17.097,6.3,2703,2010-06-11,110000000,177241171,multiple_genres,6
the accountant,en,13.81,6.9,3407,2016-10-14,40000000,152962083,multiple_genres,10
