movie,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,genres,release_month
it's a wonderful afterlife,en,1.332,4.6,12,2010-10-08,10000000,1642939,multiple_genres,10
it's kind of a funny story,en,10.01,7.0,1324,2010-10-08,8000000,6632950,multiple_genres,10
j. edgar,en,8.628,6.2,1303,2011-11-09,35000000,84606030,multiple_genres,11
jab tak hai jaan,hi,7.701,6.9,107,2012-11-13,9200000,5806666,multiple_genres,11
jack and jill,en,11.277,4.1,1124,2011-11-11,79000000,150519217,comedy,11
jack reacher,en,18.312,6.4,4155,2012-12-21,60000000,217370736,multiple_genres,12
jack reacher: never go back,en,17.085,5.6,2831,2016-10-21,60000000,159946489,multiple_genres,10
jack ryan: shadow recruit,en,11.061,6.1,1687,2014-01-17,60000000,131377412,multiple_genres,1
jack the giant slayer,en,12.773,5.6,3403,2013-03-01,195000000,197687603,multiple_genres,3
jackass 3d,en,10.715,6.3,655,2010-10-15,20000000,171685793,multiple_genres,10
jackie,en,8.819,6.4,1420,2016-12-02,9000000,36588512,multiple_genres,12
jackpot,no,2.864,6.1,18,2001-07-27,400000,44452,multiple_genres,7
jane got a gun,en,8.825,5.5,439,2016-01-29,25000000,3771345,multiple_genres,1
jason bourne,en,14.568,6.1,3611,2016-07-29,120000000,416168316,multiple_genres,7
"jeff, who lives at home",en,8.821,6.2,320,2012-03-16,10000000,4708127,multiple_genres,3
jem and the holograms,en,7.942,5.4,241,2015-10-23,5000000,2368937,multiple_genres,10
jersey boys,en,6.933,6.9,380,2014-06-20,40000000,65282732,multiple_genres,6
jigsaw,en,17.398,6.1,1887,2017-10-27,10000000,102445196,multiple_genres,10
jimi: all is by my side,en,6.461,5.5,96,2014-09-26,5000000,927074,multiple_genres,9
jobs,en,8.023,6.1,1622,2013-08-16,18000000,43402515,multiple_genres,8
joe,en,8.57,6.6,514,2014-04-11,4000000,373375,drama,4
john carter,en,18.549,6.1,3338,2012-03-09,275000000,282778100,multiple_genres,3
john wick,en,78.123,7.2,10081,2014-10-24,30000000,76235001,multiple_genres,10
johnny english reborn,en,15.542,6.1,1810,2011-10-21,45000000,164640401,multiple_genres,10
jonah hex,en,13.467,4.6,708,2010-06-18,47000000,11022696,multiple_genres,6
journey 2: the mysterious island,en,14.454,5.9,2152,2012-02-10,79000000,318146162,multiple_genres,2
joy,en,10.305,6.5,2723,2015-12-25,60000000,101134059,drama,12
joyful noise,en,6.787,6.4,70,2012-01-13,27500000,31157914,multiple_genres,1
julia,en,0.627,2.0,1,2009-05-08,6000000,1365108,multiple_genres,5
jumanji: welcome to the jungle,en,20.395,6.7,7213,2017-12-20,90000000,964496193,multiple_genres,12
jumping the broom,en,8.477,6.0,103,2011-05-06,7000000,38158601,multiple_genres,5
jupiter ascending,en,24.058,5.3,4401,2015-02-06,179000000,181982519,multiple_genres,2
jurassic world,en,20.709,6.6,14056,2015-06-12,215000000,1648854864,multiple_genres,6
jurassic world: fallen kingdom,en,34.958,6.5,5995,2018-06-22,170000000,1305772799,multiple_genres,6
just getting started,en,8.459,4.9,94,2017-12-08,22000000,6756412,multiple_genres,12
just go with it,en,19.565,6.4,2958,2011-02-11,80000000,214974953,multiple_genres,2
just wright,en,7.047,6.2,211,2010-05-14,12000000,21867665,multiple_genres,5
justice league,en,34.953,6.2,7510,2017-11-17,300000000,655945209,multiple_genres,11
justin bieber: never say never,en,8.602,5.1,240,2011-02-11,13000000,99034125,multiple_genres,2
katy perry: part of me,en,7.139,6.8,147,2012-07-05,12000000,32700439,multiple_genres,7
keanu,en,8.952,6.0,644,2016-04-29,15000000,20688141,multiple_genres,4
kevin hart: laugh at my pain,en,6.558,7.4,76,2011-09-09,750000,7712436,multiple_genres,9
kevin hart: let me explain,en,8.476,6.9,142,2013-07-03,2500000,32327255,multiple_genres,7
kevin hart: what now?,en,7.786,6.5,159,2016-10-14,10000000,23591043,multiple_genres,10
khiladi 786,en,1.824,4.7,16,2012-12-07,5600000,14683763,multiple_genres,12
khumba,en,9.597,5.6,129,2013-12-06,15000000,20898221,multiple_genres,12
kick-ass,en,13.08,7.1,7540,2010-04-16,28000000,97531134,multiple_genres,4
kick-ass 2,en,14.793,6.4,3785,2013-08-16,28000000,63129909,multiple_genres,8
kicks,en,4.002,6.6,50,2016-09-09,10000000,150191,multiple_genres,9
kidnap,en,10.959,6.0,805,2017-08-04,21000000,34836080,multiple_genres,8
kill list,en,7.036,6.1,332,2012-02-03,800000,462206,multiple_genres,2
kill the irishman,en,7.13,6.9,274,2011-03-11,12000000,1188194,crime,3
kill the messenger,en,10.062,6.6,507,2014-10-10,5000000,6656705,multiple_genres,10
killer elite,en,15.135,6.2,1093,2011-09-23,70000000,65409046,multiple_genres,9
killer joe,en,13.742,6.5,703,2012-07-27,10000000,4659110,multiple_genres,7
killers,en,10.221,5.8,1314,2010-06-04,75000000,95572749,multiple_genres,6
killing them softly,en,11.298,6.0,1105,2012-11-30,15000000,39238443,multiple_genres,11
kin,en,23.805,6.2,289,2018-08-31,30000000,10096821,multiple_genres,8
king arthur: legend of the sword,en,21.793,6.5,3305,2017-05-12,175000000,139630336,multiple_genres,5
kingdom come,en,1.244,8.0,1,2001-04-11,7000000,23393939,documentary,4
kingsman: the golden circle,en,24.337,7.0,5531,2017-09-22,104000000,408803696,multiple_genres,9
kingsman: the secret service,en,26.103,7.6,10287,2015-02-13,94000000,404561724,multiple_genres,2
kites,hi,6.058,5.8,67,2010-05-21,9200000,17155193,multiple_genres,5
knight and day,en,17.713,6.0,2494,2010-06-23,117000000,258751370,multiple_genres,6
knock knock,en,17.867,5.0,1490,2015-10-09,2000000,6328516,multiple_genres,10
kong: skull island,en,29.388,6.3,6054,2017-03-10,185000000,561072059,multiple_genres,3
krampus,en,9.417,6.0,1046,2015-12-04,15000000,61788393,multiple_genres,12
krisha,en,5.288,6.8,86,2016-03-18,30000,144822,drama,3
kubo and the two strings,en,13.847,7.7,2029,2016-08-19,55000000,77548122,multiple_genres,8
kung fu panda 2,en,17.363,6.7,3628,2011-05-26,150000000,664837547,multiple_genres,5
kung fu panda 3,en,16.248,6.7,2944,2016-01-29,140000000,517599142,multiple_genres,1
l!fe happens,en,5.334,5.3,91,2012-04-13,930000,30905,comedy,4
la la land,en,16.275,7.9,10028,2016-12-09,20000000,426351163,multiple_genres,12
labor day,en,9.258,6.9,546,2014-01-31,18000000,14189810,multiple_genres,1
lady bird,en,15.974,7.3,3866,2017-11-03,10000000,78610769,multiple_genres,11
larry crowne,en,7.261,5.8,676,2011-07-01,30000000,61449135,multiple_genres,7
last man standing,en,2.394,4.4,11,1996-09-20,67000000,18115927,comedy,9
last vegas,en,6.533,6.4,1211,2013-01-28,28000000,112914167,multiple_genres,1
lawless,en,12.147,7.0,1660,2012-08-29,26000000,54393687,multiple_genres,8
lbj,en,6.304,6.6,65,2017-11-03,20000000,2507181,multiple_genres,11
le havre,fr,5.973,6.9,169,2011-10-21,5500000,13480196,multiple_genres,10
lean on pete,en,9.307,6.9,133,2018-04-06,8000000,2455027,multiple_genres,4
leap year,es,2.563,5.6,30,2010-01-08,19000000,32618920,multiple_genres,1
left behind,en,13.897,4.0,713,2001-02-02,18500000,4221341,multiple_genres,2
legend,en,10.195,6.8,1692,2015-11-20,25000000,42425450,multiple_genres,11
legend of the guardians: the owls of ga'hoole,en,10.754,6.6,1223,2010-09-24,100000000,139716717,multiple_genres,9
legion,en,1.627,7.5,4,2010-01-22,26000000,67647574,multiple_genres,1
let me in,en,0.675,7.0,2,2010-10-01,20000000,28270399,multiple_genres,10
let there be light,en,2.01,6.2,23,2017-10-27,3000000,7241309,documentary,10
let's kill ward's wife,en,7.157,5.6,96,2015-01-09,5000000,0,multiple_genres,1
letters to god,en,4.242,6.9,71,2010-04-09,3000000,3237452,multiple_genres,4
letters to juliet,en,9.394,6.9,1706,2010-05-14,30000000,82148538,multiple_genres,5
life,en,6.425,6.1,210,2017-03-24,58000000,100929666,drama,3
life as we know it,en,11.806,6.8,1748,2010-10-08,38000000,105887837,comedy,10
life of pi,en,15.0,7.3,8723,2012-11-21,120000000,620912003,multiple_genres,11
life of the party,en,13.696,6.2,435,2018-05-11,30000000,65759911,multiple_genres,5
lights out,en,12.408,6.3,2220,2016-07-22,5000000,148806510,drama,7
like crazy,en,10.091,6.5,638,2011-10-28,250000,3728400,drama,10
limbo,en,0.6,7.7,3,1999-06-04,8300000,2598224,multiple_genres,6
limitless,en,19.453,7.1,6295,2011-03-18,27000000,155564919,documentary,3
lincoln,en,12.693,6.8,2261,2012-11-09,65000000,273346281,multiple_genres,11
lion,en,17.216,8.1,3833,2016-11-25,12000000,149570720,multiple_genres,11
little boy,en,5.805,7.0,292,2015-04-24,20000000,17769299,multiple_genres,4
little fockers,en,12.153,5.6,1883,2010-12-22,100000000,310650574,multiple_genres,12
little women,en,2.919,6.8,11,1994-12-21,15000000,50003303,multiple_genres,12
live by night,en,11.322,6.2,759,2016-12-25,65000000,21774432,multiple_genres,12
locke,en,9.128,6.9,1370,2014-04-25,2000000,2088390,drama,4
locker 13,en,0.732,6.4,4,2014-03-28,300000,3496,thriller,3
lockout,en,11.273,5.9,1004,2012-04-13,20000000,33943049,multiple_genres,4
logan,en,45.0,7.8,12330,2017-03-03,127000000,615461394,multiple_genres,3
logan lucky,en,15.743,6.7,1627,2017-08-18,29000000,44264271,multiple_genres,8
lol,en,12.43,6.1,1810,2012-05-04,11000000,10431506,multiple_genres,5
london fields,en,8.557,5.3,59,2018-10-26,8000000,433732,multiple_genres,10
london has fallen,en,15.287,5.9,2591,2016-03-04,60000000,195194085,multiple_genres,3
lone survivor,en,15.404,7.4,2289,2013-12-25,40000000,149804632,multiple_genres,12
long shot,en,5.034,7.2,39,2019-05-03,40000000,43711031,multiple_genres,5
looper,en,16.779,6.8,6723,2012-09-28,30000000,170466405,multiple_genres,9
